,Time,Observed,Predicted
315,1.575,0.040233,0.04053819552063942
316,1.58,0.018874,0.0075555723160505295
317,1.585,-0.076666,-0.06595862656831741
318,1.59,0.024327,0.03274669870734215
319,1.595,0.013773,-0.008689925074577332
320,1.6,0.038596,0.0313357412815094
321,1.605,-0.050369,-0.04750541225075722
322,1.61,-0.001323,0.002385195344686508
323,1.615,0.047861,0.04092225804924965
324,1.62,-0.007202,-0.014188326895236969
325,1.625,-0.032922,-0.034518588334321976
326,1.63,0.014234,0.009659964591264725
327,1.635,0.006501,0.013206468895077705
328,1.64,0.039946,0.04623950272798538
329,1.645,-0.098227,-0.08526718616485596
330,1.65,0.024363,0.023413892835378647
331,1.655,0.025835,0.03500960022211075
332,1.66,0.013375,0.015357984229922295
333,1.665,-0.013395,-0.014463703148066998
334,1.67,-0.016587,-0.015517529100179672
335,1.675,0.040156,0.04632611572742462
336,1.68,0.017238,0.011593730188906193
337,1.685,-0.076755,-0.07604611665010452
338,1.69,0.026746,0.028552914038300514
339,1.695,0.010487,-0.004356729798018932
340,1.7,0.039234,0.03299909830093384
341,1.705,-0.052116,-0.05181250348687172
342,1.71,-0.002064,-0.0037564756348729134
343,1.715,0.048347,0.04226159676909447
344,1.72,-0.005582,-0.014062903821468353
345,1.725,-0.03446,-0.0341896191239357
346,1.73,0.013713,0.014575570821762085
347,1.735,0.00635,0.006222454831004143
348,1.74,0.041786,0.04362503066658974
349,1.745,-0.098134,-0.08781366795301437
350,1.75,0.022879,0.024465156719088554
351,1.755,0.025146,0.030644720420241356
352,1.76,0.011646,0.012188183143734932
353,1.765,-0.013328,-0.007860906422138214
354,1.77,-0.014855,-0.013944576494395733
355,1.775,0.039607,0.047691263258457184
356,1.78,0.016523,0.017757801339030266
357,1.785,-0.075679,-0.0778418481349945
358,1.79,0.028428,0.026468796655535698
359,1.795,0.007279,-0.0013573991600424051
360,1.8,0.035697,0.03520669788122177
361,1.805,-0.051618,-0.0502757802605629
362,1.81,-0.001257,-0.01138988509774208
363,1.815,0.047896,0.04292964190244675
364,1.82,-0.00336,-0.010506603866815567
365,1.825,-0.0345,-0.03565181791782379
